No,age,date,education,occupation,Income
1,39,1/1/1995, Bachelors, Adm-clerical, <=50K
2,50,2/1/1995, Bachelors, Exec-managerial, <=50K
3,38,3/1/1995, Bachelors, Handlers-cleaners, <=50K
4,53,4/1/1995, 11th, Handlers-cleaners, <=50K
5,28,5/1/1995, Bachelors, Prof-specialty, <=50K
6,23,6/1/1995, Masters, Exec-managerial, <=50K
7,49,7/1/1995, 9th, Other-service, <=50K
7,49,7/1/1995, 9th, Other-service, <=50K
8,52,8/1/1995, HS-grad, Exec-managerial, >50K
9,31,9/1/1995, Masters, Exec-managerial, >50K
10,42,10/1/1995, Bachelors, Exec-managerial, >50K
11,37,11/1/1995, Some-college, Exec-managerial, >50K
12,30,12/1/1995, Bachelors, Prof-specialty, >50K
13,23,13/1/1995, Bachelors, Adm-clerical, <=50K
14,32,14/1/1995, Assoc-acdm, Sales, <=50K
15,40,15/1/1995, Assoc-voc, Craft-repair, >50K
16,34,16/1/1995, 7th-8th, Transport-moving, <=50K
17,25,17/1/1995, HS-grad, Farming-fishing, <=50K
18,32,18/1/1995, HS-grad, Machine-op-inspct, <=50K
19,38,19/1/1995, 11th, Sales, <=50K
20,43,20/1/1995, Masters, Exec-managerial, >50K
